TradeDate,Currency,Ticker,OptionType,TradedStockPrice,NumOptions,Strike,ExpiryDate
2013-01-14,USD,PUT,FB,30.950001,100,31,2013-07-13
2013-01-14,USD,CALL,FB,30.950001,330,30,2013-07-13
2013-01-14,USD,PUT,AMZN,272.730011,220,278,2014-01-09
2013-01-14,USD,CALL,CHK,16.026489,160,15,2014-01-09
2013-01-14,USD,CALL,CHK,16.026489,580,15,2014-01-09
2013-01-15,USD,CALL,MSFT,27.209999,910,28,2014-01-10
2013-01-15,USD,CALL,BA,76.940002,760,80,2014-01-10
2013-01-15,USD,PUT,AMZN,271.899994,140,264,2014-01-10
2013-01-15,USD,CALL,MSFT,27.209999,60,27,2013-04-15
2013-01-15,USD,PUT,MSFT,27.209999,930,26,2013-07-14
2013-01-15,USD,CALL,MSFT,27.209999,610,26,2014-01-10
2013-01-16,USD,CALL,AAPL,72.298569,680,69,2013-07-15
2013-01-16,USD,PUT,AAPL,72.298569,500,72,2014-01-11
2013-01-16,USD,PUT,XRX,19.97365,360,20,2013-04-16
2013-01-17,USD,PUT,MSFT,27.25,820,25,2014-01-12
2013-01-17,USD,CALL,XRX,19.97365,780,19,2013-07-16
2013-01-17,USD,PUT,AMZN,270.480011,390,269,2014-01-12
2013-01-17,USD,PUT,AMZN,270.480011,790,262,2013-04-17
2013-01-17,USD,CALL,CHK,16.603596,320,16,2014-01-12
2013-01-18,USD,CALL,BA,75.040001,930,75,2014-01-13
2013-01-18,USD,PUT,AMZN,272.119995,360,271,2013-04-18
2013-01-22,USD,PUT,AAPL,72.110001,730,71,2014-01-17
2013-01-22,USD,CALL,AAPL,72.110001,250,71,2013-04-22
2013-01-22,USD,PUT,AAPL,72.110001,920,70,2013-07-21
2013-01-22,USD,CALL,CHK,17.719963,880,17,2014-01-17
2013-01-22,USD,PUT,XRX,19.841898,100,20,2014-01-17
2013-01-23,USD,CALL,AMZN,268.109985,440,257,2013-04-23
2013-01-23,USD,CALL,XRX,19.97365,10,19,2013-07-22
2013-01-23,USD,CALL,FB,30.82,570,31,2013-07-22
2013-01-23,USD,PUT,BA,74.290001,750,74,2013-04-23
2013-01-23,USD,CALL,AAPL,73.43,780,73,2014-01-18
2013-01-23,USD,CALL,CHK,17.502365,50,16,2014-01-18
2013-01-23,USD,PUT,CHK,17.502365,890,16,2014-01-18
2013-01-23,USD,PUT,BA,74.290001,680,70,2013-07-22
2013-01-23,USD,PUT,BA,74.290001,930,73,2013-04-23
2013-01-25,USD,PUT,AAPL,62.84,490,61,2014-01-20
2013-01-25,USD,CALL,BA,75.029999,720,73,2013-04-25
2013-01-25,USD,PUT,AMZN,283.98999,40,270,2013-04-25
2013-01-28,USD,PUT,XRX,21.686429999999998,90,21,2014-01-23
2013-01-28,USD,PUT,FB,32.470001,640,34,2013-04-28
2013-01-28,USD,CALL,CHK,17.909178,270,18,2014-01-23
2013-01-28,USD,CALL,FB,32.470001,0,34,2014-01-23
2013-01-28,USD,PUT,CHK,17.909178,830,17,2014-01-23
2013-01-28,USD,CALL,XRX,21.686429999999998,740,21,2013-07-27
2013-01-29,USD,PUT,AMZN,260.350006,310,264,2013-04-29
2013-01-29,USD,CALL,AAPL,65.46714,640,64,2014-01-24
2013-01-29,USD,PUT,BA,73.650002,700,73,2013-07-28
2013-01-29,USD,CALL,CHK,17.947020000000002,140,17,2013-07-28
2013-01-29,USD,PUT,CHK,17.947020000000002,460,18,2014-01-24
2013-01-29,USD,CALL,AAPL,65.46714,630,67,2014-01-24
2013-01-29,USD,CALL,AMZN,260.350006,780,251,2014-01-24
2013-01-30,USD,CALL,XRX,21.501976000000003,70,20,2013-04-30
2013-01-31,USD,CALL,AMZN,265.5,300,267,2013-07-30
2013-01-31,USD,CALL,XRX,21.106720000000003,90,20,2014-01-26
2013-01-31,USD,PUT,CHK,19.091768,80,18,2014-01-26
2013-01-31,USD,PUT,MSFT,27.450001,460,27,2014-01-26
2013-01-31,USD,PUT,CHK,19.091768,540,19,2014-01-26
2013-01-31,USD,CALL,BA,73.870003,930,77,2013-07-30
2013-01-31,USD,PUT,BA,73.870003,230,76,2014-01-26
2013-02-01,USD,CALL,BA,74.870003,100,72,2013-07-31
2013-02-01,USD,PUT,FB,29.73,680,28,2013-05-02
2013-02-01,USD,PUT,CHK,19.233681,570,19,2013-05-02
2013-02-01,USD,PUT,AAPL,64.802856,420,66,2013-07-31
2013-02-04,USD,CALL,XRX,20.922266,30,19,2013-08-03
2013-02-04,USD,CALL,MSFT,27.440001000000002,570,26,2014-01-30
2013-02-05,USD,PUT,FB,28.639999,220,28,2014-01-31
2013-02-05,USD,PUT,MSFT,27.5,230,27,2013-08-04
2013-02-06,USD,CALL,AMZN,262.22000099999997,930,262,2013-08-05
2013-02-06,USD,PUT,CHK,19.403973,830,19,2013-05-07
2013-02-06,USD,PUT,FB,29.049999,590,30,2014-02-01
2013-02-07,USD,CALL,BA,77.43,340,80,2014-02-02
2013-02-07,USD,PUT,AAPL,66.888573,260,64,2013-05-08
2013-02-07,USD,PUT,CHK,19.139072,710,20,2013-08-06
2013-02-07,USD,PUT,CHK,19.139072,960,18,2014-02-02
2013-02-07,USD,CALL,AAPL,66.888573,170,67,2014-02-02
2013-02-08,USD,PUT,XRX,20.974968,180,20,2013-08-07
2013-02-08,USD,PUT,CHK,19.139072,580,19,2013-08-07
2013-02-08,USD,PUT,AAPL,67.854286,300,68,2014-02-03
2013-02-08,USD,PUT,AAPL,67.854286,680,65,2013-05-09
2013-02-08,USD,PUT,XRX,20.974968,200,21,2013-08-07
2013-02-08,USD,PUT,CHK,19.139072,450,18,2014-02-03
2013-02-08,USD,PUT,FB,28.549999,60,29,2013-05-09
2013-02-11,USD,CALL,MSFT,27.860001,710,28,2013-05-12
2013-02-11,USD,PUT,MSFT,27.860001,840,29,2014-02-06
2013-02-11,USD,CALL,XRX,21.054018,930,20,2013-08-10
2013-02-11,USD,PUT,MSFT,27.860001,90,27,2013-05-12
2013-02-12,USD,CALL,AAPL,66.842857,40,65,2014-02-07
2013-02-12,USD,CALL,AMZN,258.700012,780,268,2013-08-11
2013-02-12,USD,CALL,AAPL,66.842857,400,66,2014-02-07
2013-02-12,USD,CALL,FB,27.370001000000002,650,27,2014-02-07
2013-02-12,USD,PUT,MSFT,27.879998999999998,930,28,2013-08-11
2013-02-12,USD,CALL,AAPL,66.842857,990,69,2013-08-11
2013-02-12,USD,CALL,MSFT,27.879998999999998,490,29,2013-08-11
2013-02-12,USD,PUT,BA,75.989998,760,78,2014-02-07
2013-02-13,USD,CALL,FB,27.91,390,28,2014-02-08
2013-02-13,USD,CALL,FB,27.91,770,27,2014-02-08
2013-02-13,USD,CALL,MSFT,28.030001000000002,200,28,2014-02-08
2013-02-14,USD,CALL,FB,28.5,720,27,2014-02-09
2013-02-14,USD,PUT,FB,28.5,300,27,2014-02-09
2013-02-15,USD,CALL,MSFT,28.01,190,27,2014-02-10
2013-02-15,USD,PUT,AMZN,265.089996,50,253,2014-02-10
2013-02-15,USD,PUT,AMZN,265.089996,800,270,2013-05-16
2013-02-15,USD,PUT,MSFT,28.01,280,27,2014-02-10
2013-02-19,USD,PUT,CHK,19.262062,410,20,2014-02-14
2013-02-19,USD,PUT,AAPL,65.71285999999999,430,67,2013-08-18
2013-02-19,USD,CALL,XRX,21.080368,320,21,2013-05-20
2013-02-19,USD,PUT,MSFT,28.049999,520,27,2014-02-14
2013-02-19,USD,CALL,BA,74.650002,180,73,2014-02-14
2013-02-20,USD,PUT,AMZN,266.410004,590,270,2013-08-19
2013-02-20,USD,PUT,BA,74.779999,620,74,2014-02-15
2013-02-20,USD,CALL,AAPL,64.121429,970,65,2013-05-21
2013-02-21,USD,CALL,AMZN,265.940002,640,258,2013-05-22
2013-02-21,USD,PUT,MSFT,27.49,860,26,2014-02-16
2013-02-22,USD,CALL,FB,27.129998999999998,30,27,2013-05-23
2013-02-22,USD,CALL,AAPL,64.40142800000001,910,64,2013-08-21
2013-02-25,USD,PUT,MSFT,27.370001000000002,890,26,2014-02-20
2013-02-25,USD,CALL,FB,27.27,180,27,2013-08-24
2013-02-25,USD,PUT,BA,75.029999,0,76,2014-02-20
2013-02-25,USD,CALL,XRX,20.790514,200,20,2013-08-24
2013-02-25,USD,CALL,CHK,18.07947,650,18,2013-05-26
2013-02-25,USD,PUT,FB,27.27,370,28,2013-05-26
2013-02-26,USD,CALL,XRX,21.13307,530,20,2014-02-21
2013-02-26,USD,PUT,FB,27.389999,70,26,2013-05-27
2013-02-26,USD,CALL,AMZN,259.359985,700,247,2013-08-25
2013-02-26,USD,CALL,AMZN,259.359985,880,262,2013-08-25
2013-02-26,USD,CALL,BA,75.650002,130,76,2014-02-21
2013-02-26,USD,PUT,XRX,21.13307,890,21,2013-08-25
2013-02-26,USD,CALL,MSFT,27.370001000000002,780,27,2013-08-25
2013-03-01,USD,PUT,MSFT,27.950001,60,29,2013-08-28
2013-03-01,USD,PUT,AMZN,265.73999,530,260,2013-05-30
2013-03-01,USD,PUT,AMZN,265.73999,270,266,2013-05-30
2013-03-01,USD,CALL,XRX,21.475626000000002,210,21,2013-08-28
2013-03-01,USD,PUT,XRX,21.475626000000002,840,20,2014-02-24
2013-03-04,USD,CALL,AMZN,273.109985,490,285,2013-06-02
2013-03-04,USD,PUT,MSFT,28.15,230,27,2013-08-31
2013-03-05,USD,CALL,XRX,21.660079999999997,400,22,2013-06-03
2013-03-05,USD,CALL,AAPL,61.591427,500,58,2014-02-28
2013-03-05,USD,CALL,MSFT,28.35,700,27,2013-09-01
2013-03-05,USD,PUT,AAPL,61.591427,60,60,2014-02-28
2013-03-05,USD,PUT,XRX,21.660079999999997,470,21,2014-02-28
2013-03-05,USD,CALL,XRX,21.660079999999997,920,22,2014-02-28
2013-03-05,USD,CALL,XRX,21.660079999999997,250,20,2013-09-01
2013-03-06,USD,PUT,CHK,18.675497,70,19,2013-06-04
2013-03-06,USD,PUT,AAPL,60.80857099999999,920,61,2013-06-04
2013-03-06,USD,CALL,BA,79.08000200000001,460,76,2014-03-01
2013-03-06,USD,CALL,FB,27.450001,300,27,2013-06-04
2013-03-07,USD,PUT,FB,28.58,370,29,2014-03-02
2013-03-07,USD,PUT,CHK,19.725639,830,19,2013-09-03
2013-03-07,USD,PUT,CHK,19.725639,620,18,2014-03-02
2013-03-07,USD,CALL,AAPL,61.51142900000001,260,64,2013-06-05
2013-03-07,USD,PUT,FB,28.58,760,29,2014-03-02
2013-03-07,USD,CALL,AAPL,61.51142900000001,200,63,2013-06-05
2013-03-08,USD,PUT,XRX,22.951252,890,23,2014-03-03
2013-03-11,USD,CALL,CHK,20.302744,620,20,2013-06-09
2013-03-11,USD,CALL,CHK,20.302744,630,19,2014-03-06
2013-03-11,USD,PUT,FB,28.139999,940,29,2014-03-06
2013-03-11,USD,CALL,BA,82.940002,360,81,2014-03-06
2013-03-11,USD,CALL,AMZN,271.23999,560,274,2014-03-06
2013-03-12,USD,CALL,XRX,22.635046,850,23,2014-03-07
2013-03-12,USD,CALL,FB,27.83,820,28,2013-09-08
2013-03-12,USD,CALL,CHK,20.331125,970,19,2013-09-08
2013-03-12,USD,PUT,AMZN,274.130005,640,284,2013-09-08
2013-03-12,USD,CALL,CHK,20.331125,410,20,2013-09-08
2013-03-12,USD,CALL,AMZN,274.130005,220,260,2013-06-10
2013-03-13,USD,PUT,FB,27.08,520,26,2013-06-11
2013-03-13,USD,CALL,AMZN,275.100006,390,280,2013-06-11
2013-03-13,USD,PUT,BA,84.75,130,86,2014-03-08
2013-03-13,USD,PUT,FB,27.08,410,26,2014-03-08
2013-03-13,USD,PUT,CHK,20.245979000000002,40,21,2013-09-09
2013-03-14,USD,PUT,XRX,22.89855,490,22,2013-09-10
2013-03-14,USD,PUT,BA,84.620003,410,87,2014-03-09
2013-03-14,USD,PUT,FB,27.040001,870,25,2014-03-09
2013-03-14,USD,CALL,XRX,22.89855,550,21,2014-03-09
2013-03-15,USD,CALL,FB,26.65,110,26,2014-03-10
2013-03-15,USD,CALL,BA,86.43,420,83,2013-09-11
2013-03-15,USD,CALL,FB,26.65,40,27,2014-03-10
2013-03-15,USD,CALL,CHK,21.248817000000003,110,20,2014-03-10
2013-03-15,USD,CALL,FB,26.65,90,27,2013-09-11
2013-03-15,USD,CALL,AAPL,63.380001,220,61,2014-03-10
2013-03-15,USD,PUT,BA,86.43,910,84,2013-09-11
2013-03-18,USD,CALL,AMZN,257.890015,120,264,2014-03-13
2013-03-18,USD,CALL,FB,26.49,650,26,2013-09-14
2013-03-19,USD,CALL,AMZN,256.410004,150,269,2013-06-17
2013-03-19,USD,PUT,AMZN,256.410004,520,254,2013-09-15
2013-03-19,USD,CALL,XRX,22.714098,560,22,2014-03-14
2013-03-19,USD,PUT,FB,26.549999,600,27,2013-06-17
2013-03-21,USD,CALL,BA,84.33000200000001,300,85,2014-03-16
2013-03-21,USD,PUT,AMZN,253.38999900000002,220,248,2013-09-17
2013-03-21,USD,PUT,FB,25.74,170,26,2014-03-16
2013-03-21,USD,CALL,CHK,19.545885000000002,730,20,2013-06-19
2013-03-21,USD,PUT,MSFT,28.110001,320,27,2014-03-16
2013-03-22,USD,PUT,BA,84.82,90,86,2014-03-17
2013-03-22,USD,PUT,AMZN,257.75,760,245,2014-03-17
2013-03-22,USD,PUT,BA,84.82,700,84,2013-09-18
2013-03-25,USD,CALL,FB,25.129998999999998,450,24,2014-03-20
2013-03-25,USD,CALL,AAPL,66.225716,360,67,2014-03-20
2013-03-26,USD,CALL,FB,25.209999,550,25,2013-09-22
2013-03-26,USD,PUT,AMZN,260.309998,850,263,2013-06-24
2013-03-26,USD,CALL,AAPL,65.877144,660,68,2014-03-21
2013-03-26,USD,PUT,AAPL,65.877144,830,62,2013-06-24
2013-03-26,USD,CALL,FB,25.209999,690,25,2013-09-22
2013-03-26,USD,CALL,MSFT,28.16,760,28,2013-09-22
2013-03-26,USD,PUT,XRX,22.608696,390,21,2014-03-21
2013-03-27,USD,PUT,AAPL,64.58285500000001,710,62,2013-09-23
2013-03-27,USD,CALL,MSFT,28.370001000000002,220,29,2014-03-22
2013-03-27,USD,PUT,AAPL,64.58285500000001,580,62,2014-03-22
2013-03-27,USD,PUT,FB,26.09,460,27,2013-09-23
2013-03-27,USD,CALL,CHK,19.422895,170,19,2014-03-22
2013-03-27,USD,CALL,MSFT,28.370001000000002,740,29,2013-09-23
2013-03-27,USD,CALL,BA,86.199997,10,88,2013-06-25
2013-03-28,USD,CALL,AMZN,266.48999,630,265,2014-03-23
2013-03-28,USD,CALL,FB,25.58,90,25,2013-09-24
2013-03-28,USD,PUT,CHK,19.309366,720,19,2013-06-26
2013-03-28,USD,PUT,FB,25.58,20,25,2013-06-26
2013-03-28,USD,CALL,AAPL,63.237143999999994,250,64,2014-03-23
2013-03-28,USD,PUT,XRX,22.661396,280,22,2013-09-24
2013-03-28,USD,PUT,MSFT,28.610001,190,29,2014-03-23
2013-03-28,USD,CALL,CHK,19.309366,30,18,2014-03-23
2013-04-01,USD,CALL,BA,85.25,300,81,2013-06-30
2013-04-01,USD,CALL,MSFT,28.610001,30,27,2013-09-28
2013-04-01,USD,PUT,BA,85.25,630,81,2013-06-30
2013-04-01,USD,PUT,AAPL,61.27285799999999,390,61,2013-06-30
2013-04-01,USD,PUT,XRX,22.661396,450,21,2013-06-30
2013-04-01,USD,CALL,AMZN,261.609985,420,272,2014-03-27
2013-04-01,USD,CALL,BA,85.25,30,86,2014-03-27
2013-04-02,USD,CALL,XRX,23.320158,520,24,2013-07-01
2013-04-02,USD,PUT,AMZN,263.320007,10,261,2013-09-29
2013-04-02,USD,PUT,AMZN,263.320007,660,271,2014-03-28
2013-04-02,USD,CALL,MSFT,28.799999,190,27,2013-07-01
2013-04-02,USD,CALL,FB,25.42,790,25,2013-09-29
2013-04-02,USD,PUT,AMZN,263.320007,580,274,2013-09-29
2013-04-02,USD,CALL,AMZN,263.320007,390,265,2014-03-28
2013-04-03,USD,CALL,CHK,18.145695,960,18,2013-07-02
2013-04-03,USD,CALL,BA,84.360001,60,88,2013-09-30
2013-04-03,USD,CALL,BA,84.360001,580,86,2013-09-30
2013-04-03,USD,PUT,BA,84.360001,260,81,2014-03-29
2013-04-04,USD,PUT,MSFT,28.6,600,27,2013-07-03
2013-04-04,USD,CALL,XRX,22.8195,30,23,2013-10-01
2013-04-04,USD,CALL,MSFT,28.6,650,29,2013-10-01
2013-04-04,USD,CALL,FB,27.07,570,28,2013-10-01
2013-04-04,USD,PUT,XRX,22.8195,470,22,2014-03-30
2013-04-04,USD,PUT,CHK,18.278145000000002,640,18,2013-07-03
2013-04-04,USD,PUT,MSFT,28.6,390,27,2014-03-30
2013-04-04,USD,CALL,MSFT,28.6,540,28,2013-07-03
2013-04-04,USD,CALL,FB,27.07,720,25,2013-10-01
2013-04-05,USD,PUT,XRX,22.740448,560,22,2014-03-31
2013-04-05,USD,PUT,XRX,22.740448,730,23,2013-10-02
2013-04-05,USD,CALL,BA,86.16999799999999,930,88,2013-10-02
2013-04-05,USD,CALL,FB,27.389999,710,27,2014-03-31
2013-04-08,USD,CALL,MSFT,28.59,100,29,2013-07-07
2013-04-08,USD,PUT,AAPL,60.887142000000004,90,58,2013-07-07
2013-04-08,USD,CALL,MSFT,28.59,740,27,2014-04-03
2013-04-09,USD,CALL,AAPL,60.99714300000001,370,63,2013-10-06
2013-04-09,USD,PUT,CHK,19.053926,160,19,2013-10-06
2013-04-09,USD,PUT,BA,87.209999,170,88,2013-10-06
2013-04-09,USD,PUT,BA,87.209999,190,88,2013-07-08
2013-04-10,USD,CALL,AAPL,62.241428000000006,50,60,2013-07-09
2013-04-10,USD,PUT,AAPL,62.241428000000006,390,60,2013-10-07
2013-04-10,USD,CALL,AAPL,62.241428000000006,800,60,2013-07-09
2013-04-10,USD,CALL,FB,27.57,330,28,2013-10-07
2013-04-11,USD,CALL,AAPL,62.047142,290,61,2014-04-06
2013-04-11,USD,PUT,AAPL,62.047142,870,63,2013-07-10
2013-04-11,USD,PUT,AAPL,62.047142,750,63,2014-04-06
2013-04-11,USD,PUT,MSFT,28.940001000000002,130,27,2013-10-08
2013-04-11,USD,CALL,FB,28.02,470,26,2014-04-06
2013-04-12,USD,PUT,XRX,23.873518,100,23,2014-04-07
2013-04-12,USD,CALL,BA,88.889999,950,90,2013-07-11
2013-04-12,USD,CALL,MSFT,28.790001,510,27,2014-04-07
2013-04-12,USD,CALL,BA,88.889999,400,89,2014-04-07
2013-04-12,USD,CALL,BA,88.889999,610,88,2013-10-09
2013-04-12,USD,PUT,BA,88.889999,790,85,2014-04-07
2013-04-15,USD,PUT,AAPL,59.978573,170,59,2014-04-10
2013-04-15,USD,PUT,MSFT,28.690001000000002,120,28,2013-07-14
2013-04-15,USD,PUT,MSFT,28.690001000000002,930,29,2013-10-12
2013-04-15,USD,PUT,CHK,17.909178,880,17,2014-04-10
2013-04-15,USD,PUT,AMZN,267.72000099999997,810,275,2013-07-14
2013-04-16,USD,CALL,BA,86.889999,120,89,2013-10-13
2013-04-16,USD,CALL,MSFT,28.969998999999998,920,29,2013-10-13
2013-04-16,USD,CALL,MSFT,28.969998999999998,840,29,2013-07-15
2013-04-16,USD,CALL,XRX,23.899867999999998,70,23,2013-10-13
2013-04-16,USD,CALL,BA,86.889999,610,87,2014-04-11
2013-04-16,USD,CALL,CHK,18.032167,20,17,2013-10-13
2013-04-16,USD,CALL,MSFT,28.969998999999998,870,30,2013-10-13
2013-04-16,USD,PUT,MSFT,28.969998999999998,940,28,2013-10-13
2013-04-17,USD,PUT,FB,26.629998999999998,290,25,2014-04-12
2013-04-17,USD,PUT,AMZN,267.399994,110,273,2013-10-14
2013-04-17,USD,CALL,CHK,17.473983999999998,890,18,2014-04-12
2013-04-17,USD,PUT,FB,26.629998999999998,680,27,2014-04-12
2013-04-17,USD,CALL,MSFT,28.83,850,29,2013-10-14
2013-04-17,USD,PUT,AMZN,267.399994,920,269,2013-10-14
2013-04-18,USD,PUT,MSFT,28.790001,290,29,2014-04-13
2013-04-18,USD,CALL,AAPL,56.007141000000004,380,54,2014-04-13
2013-04-18,USD,CALL,CHK,17.937559,800,18,2014-04-13
2013-04-19,USD,PUT,AAPL,55.790001000000004,940,53,2013-10-16
2013-04-19,USD,PUT,MSFT,29.77,370,30,2014-04-14
2013-04-19,USD,PUT,FB,25.73,670,24,2014-04-14
2013-04-19,USD,CALL,CHK,17.587511,190,17,2014-04-14
2013-04-23,USD,CALL,MSFT,30.6,10,30,2013-07-22
2013-04-23,USD,PUT,BA,88.18,850,89,2014-04-18
2013-04-25,USD,PUT,MSFT,31.940001000000002,450,32,2014-04-20
2013-04-25,USD,PUT,CHK,18.240303,250,17,2013-10-22
2013-04-25,USD,PUT,AMZN,274.700012,490,262,2014-04-20
2013-04-25,USD,PUT,CHK,18.240303,610,17,2013-07-24
2013-04-26,USD,PUT,XRX,22.081685999999998,730,21,2013-10-23
2013-04-29,USD,CALL,MSFT,32.610001000000004,250,34,2013-07-28
2013-04-29,USD,PUT,AMZN,249.74000499999997,890,242,2013-10-26
2013-04-29,USD,PUT,AAPL,61.445713,480,59,2013-07-28
2013-04-29,USD,PUT,BA,91.900002,450,92,2014-04-24
2013-04-29,USD,PUT,XRX,22.26614,350,21,2013-10-26
2013-04-29,USD,CALL,AMZN,249.74000499999997,230,239,2014-04-24
2013-04-29,USD,PUT,FB,26.98,60,26,2014-04-24
2013-04-29,USD,PUT,BA,91.900002,770,89,2014-04-24
2013-04-30,USD,PUT,XRX,22.608696,50,22,2014-04-25
2013-04-30,USD,PUT,XRX,22.608696,840,23,2013-10-27
2013-04-30,USD,CALL,MSFT,33.099998,860,33,2013-07-29
2013-04-30,USD,PUT,XRX,22.608696,210,21,2014-04-25
2013-04-30,USD,PUT,AAPL,63.254284,80,65,2013-10-27
2013-04-30,USD,PUT,AAPL,63.254284,410,65,2013-10-27
2013-05-01,USD,PUT,BA,91.18,300,88,2014-04-26
2013-05-01,USD,PUT,XRX,21.949934,600,22,2014-04-26
2013-05-01,USD,CALL,MSFT,32.720001,640,32,2013-10-28
2013-05-01,USD,PUT,CHK,18.155155,600,18,2014-04-26
2013-05-01,USD,PUT,AAPL,62.755714000000005,160,65,2014-04-26
2013-05-01,USD,PUT,AMZN,248.229996,550,250,2014-04-26
2013-05-01,USD,PUT,AMZN,248.229996,570,243,2013-07-30
2013-05-01,USD,PUT,CHK,18.155155,590,18,2014-04-26
2013-05-02,USD,PUT,AAPL,63.645714,500,66,2014-04-27
2013-05-02,USD,PUT,AMZN,252.55000299999998,730,258,2014-04-27
2013-05-02,USD,CALL,AAPL,63.645714,570,62,2013-07-31
2013-05-03,USD,CALL,XRX,22.503294,580,23,2013-10-30
2013-05-03,USD,CALL,AMZN,258.049988,970,249,2014-04-28
2013-05-03,USD,PUT,AAPL,64.28286,450,63,2013-10-30
2013-05-03,USD,PUT,MSFT,33.490002000000004,810,33,2013-08-01
2013-05-03,USD,PUT,BA,93.739998,100,93,2013-10-30
2013-05-06,USD,CALL,MSFT,33.75,700,32,2013-08-04
2013-05-06,USD,CALL,AAPL,65.815712,100,66,2013-08-04
2013-05-06,USD,PUT,AMZN,255.72000099999997,90,265,2014-05-01
2013-05-06,USD,CALL,FB,27.57,790,28,2014-05-01
2013-05-06,USD,CALL,FB,27.57,720,28,2013-11-02
2013-05-06,USD,CALL,FB,27.57,940,28,2014-05-01
2013-05-06,USD,CALL,BA,94.190002,90,91,2013-11-02
2013-05-06,USD,PUT,AMZN,255.72000099999997,180,244,2013-08-04
2013-05-06,USD,CALL,MSFT,33.75,400,32,2013-11-02
2013-05-07,USD,CALL,AMZN,257.730011,830,250,2013-11-03
2013-05-07,USD,PUT,AMZN,257.730011,700,261,2013-08-05
2013-05-07,USD,CALL,BA,94.790001,350,92,2013-11-03
2013-05-07,USD,CALL,MSFT,33.310001,330,33,2014-05-02
2013-05-07,USD,PUT,CHK,18.098392,920,18,2013-08-05
2013-05-08,USD,PUT,MSFT,32.990002000000004,550,32,2013-11-04
2013-05-08,USD,CALL,BA,94.040001,460,91,2014-05-03
2013-05-08,USD,CALL,MSFT,32.990002000000004,40,33,2013-08-06
2013-05-08,USD,CALL,FB,27.120001000000002,580,26,2013-08-06
2013-05-09,USD,CALL,AAPL,65.252853,630,67,2014-05-04
2013-05-09,USD,PUT,CHK,18.524124,620,19,2014-05-04
2013-05-09,USD,CALL,AAPL,65.252853,620,65,2014-05-04
2013-05-09,USD,CALL,FB,27.040001,510,28,2014-05-04
2013-05-09,USD,CALL,AAPL,65.252853,330,67,2014-05-04
2013-05-10,USD,CALL,AMZN,263.630005,700,270,2013-11-06
2013-05-10,USD,PUT,AAPL,64.709999,400,65,2013-08-08
2013-05-10,USD,CALL,AAPL,64.709999,880,66,2014-05-05
2013-05-10,USD,CALL,CHK,19.063387,610,18,2013-11-06
2013-05-10,USD,CALL,FB,26.68,690,27,2013-08-08
2013-05-10,USD,PUT,AMZN,263.630005,150,266,2013-11-06
2013-05-10,USD,CALL,CHK,19.063387,250,18,2013-11-06
2013-05-13,USD,PUT,AAPL,64.96285999999999,460,63,2014-05-08
2013-05-13,USD,CALL,BA,94.760002,710,90,2014-05-08
2013-05-13,USD,CALL,XRX,23.42556,160,22,2013-08-11
2013-05-13,USD,PUT,BA,94.760002,740,96,2014-05-08
2013-05-13,USD,CALL,FB,26.82,60,28,2014-05-08
2013-05-13,USD,PUT,MSFT,33.029999,800,32,2014-05-08
2013-05-13,USD,CALL,XRX,23.42556,450,22,2013-08-11
