,TradeDate,Currency,OptionType,Ticker,TradedStockPrice,NumOptions,Strike,ExpiryDate
33,14/01/2013,USD,CALL,CHK,16.026489,160,15,09/01/2014
34,14/01/2013,USD,CALL,CHK,16.026489,580,15,09/01/2014
35,15/01/2013,USD,CALL,MSFT,27.209999,910,28,10/01/2014
36,15/01/2013,USD,CALL,BA,76.940002,760,80,10/01/2014
37,15/01/2013,USD,PUT,AMZN,271.899994,140,264,10/01/2014
38,15/01/2013,USD,CALL,MSFT,27.209999,60,27,15/04/2013
39,15/01/2013,USD,PUT,MSFT,27.209999,930,26,14/07/2013
40,15/01/2013,USD,CALL,MSFT,27.209999,610,26,10/01/2014
41,16/01/2013,USD,CALL,AAPL,72.298569,680,69,15/07/2013
42,16/01/2013,USD,PUT,AAPL,72.298569,500,72,11/01/2014
43,16/01/2013,USD,PUT,XRX,19.97365,360,20,16/04/2013
44,17/01/2013,USD,PUT,MSFT,27.25,820,25,12/01/2014
45,17/01/2013,USD,CALL,XRX,19.97365,780,19,16/07/2013
46,17/01/2013,USD,PUT,AMZN,270.480011,390,269,12/01/2014
47,17/01/2013,USD,PUT,AMZN,270.480011,790,262,17/04/2013
48,17/01/2013,USD,CALL,CHK,16.603596,320,16,12/01/2014
49,18/01/2013,USD,CALL,BA,75.040001,930,75,13/01/2014
50,18/01/2013,USD,PUT,AMZN,272.119995,360,271,18/04/2013
51,22/01/2013,USD,PUT,AAPL,72.110001,730,71,17/01/2014
52,22/01/2013,USD,CALL,AAPL,72.110001,250,71,22/04/2013
53,22/01/2013,USD,PUT,AAPL,72.110001,920,70,21/07/2013
54,22/01/2013,USD,CALL,CHK,17.719963,880,17,17/01/2014
55,22/01/2013,USD,PUT,XRX,19.841898,100,20,17/01/2014
56,23/01/2013,USD,CALL,AMZN,268.109985,440,257,23/04/2013
57,23/01/2013,USD,CALL,XRX,19.97365,10,19,22/07/2013
58,23/01/2013,USD,CALL,FB,30.82,570,31,22/07/2013
59,23/01/2013,USD,PUT,BA,74.290001,750,74,23/04/2013
60,23/01/2013,USD,CALL,AAPL,73.43,780,73,18/01/2014
61,23/01/2013,USD,CALL,CHK,17.502365,50,16,18/01/2014
62,23/01/2013,USD,PUT,CHK,17.502365,890,16,18/01/2014
63,23/01/2013,USD,PUT,BA,74.290001,680,70,22/07/2013
64,23/01/2013,USD,PUT,BA,74.290001,930,73,23/04/2013
65,25/01/2013,USD,PUT,AAPL,62.84,490,61,20/01/2014
66,25/01/2013,USD,CALL,BA,75.029999,720,73,25/04/2013
67,25/01/2013,USD,PUT,AMZN,283.98999,40,270,25/04/2013
68,28/01/2013,USD,PUT,XRX,21.68643,90,21,23/01/2014
69,28/01/2013,USD,PUT,FB,32.470001,640,34,28/04/2013
70,28/01/2013,USD,CALL,CHK,17.909178,270,18,23/01/2014
71,28/01/2013,USD,CALL,FB,32.470001,0,34,23/01/2014
72,28/01/2013,USD,PUT,CHK,17.909178,830,17,23/01/2014
73,28/01/2013,USD,CALL,XRX,21.68643,740,21,27/07/2013
74,29/01/2013,USD,PUT,AMZN,260.350006,310,264,29/04/2013
75,29/01/2013,USD,CALL,AAPL,65.46714,640,64,24/01/2014
76,29/01/2013,USD,PUT,BA,73.650002,700,73,28/07/2013
77,29/01/2013,USD,CALL,CHK,17.94702,140,17,28/07/2013
78,29/01/2013,USD,PUT,CHK,17.94702,460,18,24/01/2014
79,29/01/2013,USD,CALL,AAPL,65.46714,630,67,24/01/2014
80,29/01/2013,USD,CALL,AMZN,260.350006,780,251,24/01/2014
81,30/01/2013,USD,CALL,XRX,21.501976,70,20,30/04/2013
82,31/01/2013,USD,CALL,AMZN,265.5,300,267,30/07/2013
83,31/01/2013,USD,CALL,XRX,21.10672,90,20,26/01/2014
84,31/01/2013,USD,PUT,CHK,19.091768,80,18,26/01/2014
85,31/01/2013,USD,PUT,MSFT,27.450001,460,27,26/01/2014
86,31/01/2013,USD,PUT,CHK,19.091768,540,19,26/01/2014
87,31/01/2013,USD,CALL,BA,73.870003,930,77,30/07/2013
88,31/01/2013,USD,PUT,BA,73.870003,230,76,26/01/2014
89,01/02/2013,USD,CALL,BA,74.870003,100,72,31/07/2013
90,01/02/2013,USD,PUT,FB,29.73,680,28,02/05/2013
91,01/02/2013,USD,PUT,CHK,19.233681,570,19,02/05/2013
92,01/02/2013,USD,PUT,AAPL,64.802856,420,66,31/07/2013
93,04/02/2013,USD,CALL,XRX,20.922266,30,19,03/08/2013
94,04/02/2013,USD,CALL,MSFT,27.440001,570,26,30/01/2014
95,05/02/2013,USD,PUT,FB,28.639999,220,28,31/01/2014
96,05/02/2013,USD,PUT,MSFT,27.5,230,27,04/08/2013
97,06/02/2013,USD,CALL,AMZN,262.220001,930,262,05/08/2013
98,06/02/2013,USD,PUT,CHK,19.403973,830,19,07/05/2013
99,06/02/2013,USD,PUT,FB,29.049999,590,30,01/02/2014
100,07/02/2013,USD,CALL,BA,77.43,340,80,02/02/2014
101,07/02/2013,USD,PUT,AAPL,66.888573,260,64,08/05/2013
102,07/02/2013,USD,PUT,CHK,19.139072,710,20,06/08/2013
103,07/02/2013,USD,PUT,CHK,19.139072,960,18,02/02/2014
104,07/02/2013,USD,CALL,AAPL,66.888573,170,67,02/02/2014
105,08/02/2013,USD,PUT,XRX,20.974968,180,20,07/08/2013
106,08/02/2013,USD,PUT,CHK,19.139072,580,19,07/08/2013
107,08/02/2013,USD,PUT,AAPL,67.854286,300,68,03/02/2014
108,08/02/2013,USD,PUT,AAPL,67.854286,680,65,09/05/2013
109,08/02/2013,USD,PUT,XRX,20.974968,200,21,07/08/2013
110,08/02/2013,USD,PUT,CHK,19.139072,450,18,03/02/2014
111,08/02/2013,USD,PUT,FB,28.549999,60,29,09/05/2013
112,11/02/2013,USD,CALL,MSFT,27.860001,710,28,12/05/2013
113,11/02/2013,USD,PUT,MSFT,27.860001,840,29,06/02/2014
114,11/02/2013,USD,CALL,XRX,21.054018,930,20,10/08/2013
115,11/02/2013,USD,PUT,MSFT,27.860001,90,27,12/05/2013
116,12/02/2013,USD,CALL,AAPL,66.842857,40,65,07/02/2014
117,12/02/2013,USD,CALL,AMZN,258.700012,780,268,11/08/2013
118,12/02/2013,USD,CALL,AAPL,66.842857,400,66,07/02/2014
119,12/02/2013,USD,CALL,FB,27.370001,650,27,07/02/2014
120,12/02/2013,USD,PUT,MSFT,27.879999,930,28,11/08/2013
121,12/02/2013,USD,CALL,AAPL,66.842857,990,69,11/08/2013
122,12/02/2013,USD,CALL,MSFT,27.879999,490,29,11/08/2013
123,12/02/2013,USD,PUT,BA,75.989998,760,78,07/02/2014
124,13/02/2013,USD,CALL,FB,27.91,390,28,08/02/2014
125,13/02/2013,USD,CALL,FB,27.91,770,27,08/02/2014
126,13/02/2013,USD,CALL,MSFT,28.030001,200,28,08/02/2014
127,14/02/2013,USD,CALL,FB,28.5,720,27,09/02/2014
128,14/02/2013,USD,PUT,FB,28.5,300,27,09/02/2014
129,15/02/2013,USD,CALL,MSFT,28.01,190,27,10/02/2014
130,15/02/2013,USD,PUT,AMZN,265.089996,50,253,10/02/2014
131,15/02/2013,USD,PUT,AMZN,265.089996,800,270,16/05/2013
132,15/02/2013,USD,PUT,MSFT,28.01,280,27,10/02/2014
133,19/02/2013,USD,PUT,CHK,19.262062,410,20,14/02/2014
134,19/02/2013,USD,PUT,AAPL,65.71286,430,67,18/08/2013
135,19/02/2013,USD,CALL,XRX,21.080368,320,21,20/05/2013
136,19/02/2013,USD,PUT,MSFT,28.049999,520,27,14/02/2014
137,19/02/2013,USD,CALL,BA,74.650002,180,73,14/02/2014
138,20/02/2013,USD,PUT,AMZN,266.410004,590,270,19/08/2013
139,20/02/2013,USD,PUT,BA,74.779999,620,74,15/02/2014
140,20/02/2013,USD,CALL,AAPL,64.121429,970,65,21/05/2013
141,21/02/2013,USD,CALL,AMZN,265.940002,640,258,22/05/2013
142,21/02/2013,USD,PUT,MSFT,27.49,860,26,16/02/2014
143,22/02/2013,USD,CALL,FB,27.129999,30,27,23/05/2013
144,22/02/2013,USD,CALL,AAPL,64.401428,910,64,21/08/2013
145,25/02/2013,USD,PUT,MSFT,27.370001,890,26,20/02/2014
146,25/02/2013,USD,CALL,FB,27.27,180,27,24/08/2013
147,25/02/2013,USD,PUT,BA,75.029999,0,76,20/02/2014
148,25/02/2013,USD,CALL,XRX,20.790514,200,20,24/08/2013
149,25/02/2013,USD,CALL,CHK,18.07947,650,18,26/05/2013
150,25/02/2013,USD,PUT,FB,27.27,370,28,26/05/2013
151,26/02/2013,USD,CALL,XRX,21.13307,530,20,21/02/2014
152,26/02/2013,USD,PUT,FB,27.389999,70,26,27/05/2013
153,26/02/2013,USD,CALL,AMZN,259.359985,700,247,25/08/2013
154,26/02/2013,USD,CALL,AMZN,259.359985,880,262,25/08/2013
155,26/02/2013,USD,CALL,BA,75.650002,130,76,21/02/2014
156,26/02/2013,USD,PUT,XRX,21.13307,890,21,25/08/2013
157,26/02/2013,USD,CALL,MSFT,27.370001,780,27,25/08/2013
158,01/03/2013,USD,PUT,MSFT,27.950001,60,29,28/08/2013
159,01/03/2013,USD,PUT,AMZN,265.73999,530,260,30/05/2013
160,01/03/2013,USD,PUT,AMZN,265.73999,270,266,30/05/2013
161,01/03/2013,USD,CALL,XRX,21.475626,210,21,28/08/2013
162,01/03/2013,USD,PUT,XRX,21.475626,840,20,24/02/2014
163,04/03/2013,USD,CALL,AMZN,273.109985,490,285,02/06/2013
164,04/03/2013,USD,PUT,MSFT,28.15,230,27,31/08/2013
165,05/03/2013,USD,CALL,XRX,21.66008,400,22,03/06/2013
166,05/03/2013,USD,CALL,AAPL,61.591427,500,58,28/02/2014
167,05/03/2013,USD,CALL,MSFT,28.35,700,27,01/09/2013
168,05/03/2013,USD,PUT,AAPL,61.591427,60,60,28/02/2014
169,05/03/2013,USD,PUT,XRX,21.66008,470,21,28/02/2014
170,05/03/2013,USD,CALL,XRX,21.66008,920,22,28/02/2014
171,05/03/2013,USD,CALL,XRX,21.66008,250,20,01/09/2013
172,06/03/2013,USD,PUT,CHK,18.675497,70,19,04/06/2013
173,06/03/2013,USD,PUT,AAPL,60.808571,920,61,04/06/2013
174,06/03/2013,USD,CALL,BA,79.080002,460,76,01/03/2014
175,06/03/2013,USD,CALL,FB,27.450001,300,27,04/06/2013
176,07/03/2013,USD,PUT,FB,28.58,370,29,02/03/2014
177,07/03/2013,USD,PUT,CHK,19.725639,830,19,03/09/2013
178,07/03/2013,USD,PUT,CHK,19.725639,620,18,02/03/2014
179,07/03/2013,USD,CALL,AAPL,61.511429,260,64,05/06/2013
180,07/03/2013,USD,PUT,FB,28.58,760,29,02/03/2014
181,07/03/2013,USD,CALL,AAPL,61.511429,200,63,05/06/2013
182,08/03/2013,USD,PUT,XRX,22.951252,890,23,03/03/2014
183,11/03/2013,USD,CALL,CHK,20.302744,620,20,09/06/2013
184,11/03/2013,USD,CALL,CHK,20.302744,630,19,06/03/2014
185,11/03/2013,USD,PUT,FB,28.139999,940,29,06/03/2014
186,11/03/2013,USD,CALL,BA,82.940002,360,81,06/03/2014
187,11/03/2013,USD,CALL,AMZN,271.23999,560,274,06/03/2014
188,12/03/2013,USD,CALL,XRX,22.635046,850,23,07/03/2014
189,12/03/2013,USD,CALL,FB,27.83,820,28,08/09/2013
190,12/03/2013,USD,CALL,CHK,20.331125,970,19,08/09/2013
191,12/03/2013,USD,PUT,AMZN,274.130005,640,284,08/09/2013
192,12/03/2013,USD,CALL,CHK,20.331125,410,20,08/09/2013
193,12/03/2013,USD,CALL,AMZN,274.130005,220,260,10/06/2013
194,13/03/2013,USD,PUT,FB,27.08,520,26,11/06/2013
195,13/03/2013,USD,CALL,AMZN,275.100006,390,280,11/06/2013
196,13/03/2013,USD,PUT,BA,84.75,130,86,08/03/2014
197,13/03/2013,USD,PUT,FB,27.08,410,26,08/03/2014
198,13/03/2013,USD,PUT,CHK,20.245979,40,21,09/09/2013
199,14/03/2013,USD,PUT,XRX,22.89855,490,22,10/09/2013
200,14/03/2013,USD,PUT,BA,84.620003,410,87,09/03/2014
201,14/03/2013,USD,PUT,FB,27.040001,870,25,09/03/2014
202,14/03/2013,USD,CALL,XRX,22.89855,550,21,09/03/2014
203,15/03/2013,USD,CALL,FB,26.65,110,26,10/03/2014
204,15/03/2013,USD,CALL,BA,86.43,420,83,11/09/2013
205,15/03/2013,USD,CALL,FB,26.65,40,27,10/03/2014
206,15/03/2013,USD,CALL,CHK,21.248817,110,20,10/03/2014
207,15/03/2013,USD,CALL,FB,26.65,90,27,11/09/2013
208,15/03/2013,USD,CALL,AAPL,63.380001,220,61,10/03/2014
209,15/03/2013,USD,PUT,BA,86.43,910,84,11/09/2013
210,18/03/2013,USD,CALL,AMZN,257.890015,120,264,13/03/2014
211,18/03/2013,USD,CALL,FB,26.49,650,26,14/09/2013
212,19/03/2013,USD,CALL,AMZN,256.410004,150,269,17/06/2013
213,19/03/2013,USD,PUT,AMZN,256.410004,520,254,15/09/2013
214,19/03/2013,USD,CALL,XRX,22.714098,560,22,14/03/2014
215,19/03/2013,USD,PUT,FB,26.549999,600,27,17/06/2013
216,21/03/2013,USD,CALL,BA,84.330002,300,85,16/03/2014
217,21/03/2013,USD,PUT,AMZN,253.389999,220,248,17/09/2013
218,21/03/2013,USD,PUT,FB,25.74,170,26,16/03/2014
219,21/03/2013,USD,CALL,CHK,19.545885,730,20,19/06/2013
220,21/03/2013,USD,PUT,MSFT,28.110001,320,27,16/03/2014
221,22/03/2013,USD,PUT,BA,84.82,90,86,17/03/2014
222,22/03/2013,USD,PUT,AMZN,257.75,760,245,17/03/2014
223,22/03/2013,USD,PUT,BA,84.82,700,84,18/09/2013
224,25/03/2013,USD,CALL,FB,25.129999,450,24,20/03/2014
225,25/03/2013,USD,CALL,AAPL,66.225716,360,67,20/03/2014
226,26/03/2013,USD,CALL,FB,25.209999,550,25,22/09/2013
227,26/03/2013,USD,PUT,AMZN,260.309998,850,263,24/06/2013
228,26/03/2013,USD,CALL,AAPL,65.877144,660,68,21/03/2014
229,26/03/2013,USD,PUT,AAPL,65.877144,830,62,24/06/2013
230,26/03/2013,USD,CALL,FB,25.209999,690,25,22/09/2013
231,26/03/2013,USD,CALL,MSFT,28.16,760,28,22/09/2013
232,26/03/2013,USD,PUT,XRX,22.608696,390,21,21/03/2014
233,27/03/2013,USD,PUT,AAPL,64.582855,710,62,23/09/2013
234,27/03/2013,USD,CALL,MSFT,28.370001,220,29,22/03/2014
235,27/03/2013,USD,PUT,AAPL,64.582855,580,62,22/03/2014
236,27/03/2013,USD,PUT,FB,26.09,460,27,23/09/2013
237,27/03/2013,USD,CALL,CHK,19.422895,170,19,22/03/2014
238,27/03/2013,USD,CALL,MSFT,28.370001,740,29,23/09/2013
239,27/03/2013,USD,CALL,BA,86.199997,10,88,25/06/2013
240,28/03/2013,USD,CALL,AMZN,266.48999,630,265,23/03/2014
241,28/03/2013,USD,CALL,FB,25.58,90,25,24/09/2013
242,28/03/2013,USD,PUT,CHK,19.309366,720,19,26/06/2013
243,28/03/2013,USD,PUT,FB,25.58,20,25,26/06/2013
244,28/03/2013,USD,CALL,AAPL,63.237144,250,64,23/03/2014
245,28/03/2013,USD,PUT,XRX,22.661396,280,22,24/09/2013
246,28/03/2013,USD,PUT,MSFT,28.610001,190,29,23/03/2014
247,28/03/2013,USD,CALL,CHK,19.309366,30,18,23/03/2014
248,01/04/2013,USD,CALL,BA,85.25,300,81,30/06/2013
249,01/04/2013,USD,CALL,MSFT,28.610001,30,27,28/09/2013
250,01/04/2013,USD,PUT,BA,85.25,630,81,30/06/2013
251,01/04/2013,USD,PUT,AAPL,61.272858,390,61,30/06/2013
252,01/04/2013,USD,PUT,XRX,22.661396,450,21,30/06/2013
253,01/04/2013,USD,CALL,AMZN,261.609985,420,272,27/03/2014
254,01/04/2013,USD,CALL,BA,85.25,30,86,27/03/2014
255,02/04/2013,USD,CALL,XRX,23.320158,520,24,01/07/2013
256,02/04/2013,USD,PUT,AMZN,263.320007,10,261,29/09/2013
257,02/04/2013,USD,PUT,AMZN,263.320007,660,271,28/03/2014
258,02/04/2013,USD,CALL,MSFT,28.799999,190,27,01/07/2013
259,02/04/2013,USD,CALL,FB,25.42,790,25,29/09/2013
260,02/04/2013,USD,PUT,AMZN,263.320007,580,274,29/09/2013
261,02/04/2013,USD,CALL,AMZN,263.320007,390,265,28/03/2014
262,03/04/2013,USD,CALL,CHK,18.145695,960,18,02/07/2013
263,03/04/2013,USD,CALL,BA,84.360001,60,88,30/09/2013
264,03/04/2013,USD,CALL,BA,84.360001,580,86,30/09/2013
265,03/04/2013,USD,PUT,BA,84.360001,260,81,29/03/2014
266,04/04/2013,USD,PUT,MSFT,28.6,600,27,03/07/2013
267,04/04/2013,USD,CALL,XRX,22.8195,30,23,01/10/2013
268,04/04/2013,USD,CALL,MSFT,28.6,650,29,01/10/2013
269,04/04/2013,USD,CALL,FB,27.07,570,28,01/10/2013
270,04/04/2013,USD,PUT,XRX,22.8195,470,22,30/03/2014
271,04/04/2013,USD,PUT,CHK,18.278145,640,18,03/07/2013
272,04/04/2013,USD,PUT,MSFT,28.6,390,27,30/03/2014
273,04/04/2013,USD,CALL,MSFT,28.6,540,28,03/07/2013
274,04/04/2013,USD,CALL,FB,27.07,720,25,01/10/2013
275,05/04/2013,USD,PUT,XRX,22.740448,560,22,31/03/2014
276,05/04/2013,USD,PUT,XRX,22.740448,730,23,02/10/2013
277,05/04/2013,USD,CALL,BA,86.169998,930,88,02/10/2013
278,05/04/2013,USD,CALL,FB,27.389999,710,27,31/03/2014
279,08/04/2013,USD,CALL,MSFT,28.59,100,29,07/07/2013
280,08/04/2013,USD,PUT,AAPL,60.887142,90,58,07/07/2013
281,08/04/2013,USD,CALL,MSFT,28.59,740,27,03/04/2014
282,09/04/2013,USD,CALL,AAPL,60.997143,370,63,06/10/2013
283,09/04/2013,USD,PUT,CHK,19.053926,160,19,06/10/2013
284,09/04/2013,USD,PUT,BA,87.209999,170,88,06/10/2013
285,09/04/2013,USD,PUT,BA,87.209999,190,88,08/07/2013
286,10/04/2013,USD,CALL,AAPL,62.241428,50,60,09/07/2013
287,10/04/2013,USD,PUT,AAPL,62.241428,390,60,07/10/2013
288,10/04/2013,USD,CALL,AAPL,62.241428,800,60,09/07/2013
289,10/04/2013,USD,CALL,FB,27.57,330,28,07/10/2013
290,11/04/2013,USD,CALL,AAPL,62.047142,290,61,06/04/2014
291,11/04/2013,USD,PUT,AAPL,62.047142,870,63,10/07/2013
292,11/04/2013,USD,PUT,AAPL,62.047142,750,63,06/04/2014
293,11/04/2013,USD,PUT,MSFT,28.940001,130,27,08/10/2013
294,11/04/2013,USD,CALL,FB,28.02,470,26,06/04/2014
295,12/04/2013,USD,PUT,XRX,23.873518,100,23,07/04/2014
296,12/04/2013,USD,CALL,BA,88.889999,950,90,11/07/2013
297,12/04/2013,USD,CALL,MSFT,28.790001,510,27,07/04/2014
298,12/04/2013,USD,CALL,BA,88.889999,400,89,07/04/2014
299,12/04/2013,USD,CALL,BA,88.889999,610,88,09/10/2013
300,12/04/2013,USD,PUT,BA,88.889999,790,85,07/04/2014
301,15/04/2013,USD,PUT,AAPL,59.978573,170,59,10/04/2014
302,15/04/2013,USD,PUT,MSFT,28.690001,120,28,14/07/2013
303,15/04/2013,USD,PUT,MSFT,28.690001,930,29,12/10/2013
304,15/04/2013,USD,PUT,CHK,17.909178,880,17,10/04/2014
305,15/04/2013,USD,PUT,AMZN,267.720001,810,275,14/07/2013
306,16/04/2013,USD,CALL,BA,86.889999,120,89,13/10/2013
307,16/04/2013,USD,CALL,MSFT,28.969999,920,29,13/10/2013
308,16/04/2013,USD,CALL,MSFT,28.969999,840,29,15/07/2013
309,16/04/2013,USD,CALL,XRX,23.899868,70,23,13/10/2013
310,16/04/2013,USD,CALL,BA,86.889999,610,87,11/04/2014
311,16/04/2013,USD,CALL,CHK,18.032167,20,17,13/10/2013
312,16/04/2013,USD,CALL,MSFT,28.969999,870,30,13/10/2013
313,16/04/2013,USD,PUT,MSFT,28.969999,940,28,13/10/2013
314,17/04/2013,USD,PUT,FB,26.629999,290,25,12/04/2014
315,17/04/2013,USD,PUT,AMZN,267.399994,110,273,14/10/2013
316,17/04/2013,USD,CALL,CHK,17.473984,890,18,12/04/2014
317,17/04/2013,USD,PUT,FB,26.629999,680,27,12/04/2014
318,17/04/2013,USD,CALL,MSFT,28.83,850,29,14/10/2013
319,17/04/2013,USD,PUT,AMZN,267.399994,920,269,14/10/2013
320,18/04/2013,USD,PUT,MSFT,28.790001,290,29,13/04/2014
321,18/04/2013,USD,CALL,AAPL,56.007141,380,54,13/04/2014
322,18/04/2013,USD,CALL,CHK,17.937559,800,18,13/04/2014
323,19/04/2013,USD,PUT,AAPL,55.790001,940,53,16/10/2013
324,19/04/2013,USD,PUT,MSFT,29.77,370,30,14/04/2014
325,19/04/2013,USD,PUT,FB,25.73,670,24,14/04/2014
326,19/04/2013,USD,CALL,CHK,17.587511,190,17,14/04/2014
327,23/04/2013,USD,CALL,MSFT,30.6,10,30,22/07/2013
328,23/04/2013,USD,PUT,BA,88.18,850,89,18/04/2014
329,25/04/2013,USD,PUT,MSFT,31.940001,450,32,20/04/2014
330,25/04/2013,USD,PUT,CHK,18.240303,250,17,22/10/2013
331,25/04/2013,USD,PUT,AMZN,274.700012,490,262,20/04/2014
332,25/04/2013,USD,PUT,CHK,18.240303,610,17,24/07/2013
333,26/04/2013,USD,PUT,XRX,22.081686,730,21,23/10/2013
334,29/04/2013,USD,CALL,MSFT,32.610001,250,34,28/07/2013
335,29/04/2013,USD,PUT,AMZN,249.740005,890,242,26/10/2013
336,29/04/2013,USD,PUT,AAPL,61.445713,480,59,28/07/2013
337,29/04/2013,USD,PUT,BA,91.900002,450,92,24/04/2014
338,29/04/2013,USD,PUT,XRX,22.26614,350,21,26/10/2013
339,29/04/2013,USD,CALL,AMZN,249.740005,230,239,24/04/2014
340,29/04/2013,USD,PUT,FB,26.98,60,26,24/04/2014
341,29/04/2013,USD,PUT,BA,91.900002,770,89,24/04/2014
342,30/04/2013,USD,PUT,XRX,22.608696,50,22,25/04/2014
343,30/04/2013,USD,PUT,XRX,22.608696,840,23,27/10/2013
344,30/04/2013,USD,CALL,MSFT,33.099998,860,33,29/07/2013
345,30/04/2013,USD,PUT,XRX,22.608696,210,21,25/04/2014
346,30/04/2013,USD,PUT,AAPL,63.254284,80,65,27/10/2013
347,30/04/2013,USD,PUT,AAPL,63.254284,410,65,27/10/2013
348,01/05/2013,USD,PUT,BA,91.18,300,88,26/04/2014
349,01/05/2013,USD,PUT,XRX,21.949934,600,22,26/04/2014
350,01/05/2013,USD,CALL,MSFT,32.720001,640,32,28/10/2013
351,01/05/2013,USD,PUT,CHK,18.155155,600,18,26/04/2014
352,01/05/2013,USD,PUT,AAPL,62.755714,160,65,26/04/2014
353,01/05/2013,USD,PUT,AMZN,248.229996,550,250,26/04/2014
354,01/05/2013,USD,PUT,AMZN,248.229996,570,243,30/07/2013
355,01/05/2013,USD,PUT,CHK,18.155155,590,18,26/04/2014
356,02/05/2013,USD,PUT,AAPL,63.645714,500,66,27/04/2014
357,02/05/2013,USD,PUT,AMZN,252.550003,730,258,27/04/2014
358,02/05/2013,USD,CALL,AAPL,63.645714,570,62,31/07/2013
359,03/05/2013,USD,CALL,XRX,22.503294,580,23,30/10/2013
360,03/05/2013,USD,CALL,AMZN,258.049988,970,249,28/04/2014
361,03/05/2013,USD,PUT,AAPL,64.28286,450,63,30/10/2013
362,03/05/2013,USD,PUT,MSFT,33.490002,810,33,01/08/2013
363,03/05/2013,USD,PUT,BA,93.739998,100,93,30/10/2013
364,06/05/2013,USD,CALL,MSFT,33.75,700,32,04/08/2013
365,06/05/2013,USD,CALL,AAPL,65.815712,100,66,04/08/2013
366,06/05/2013,USD,PUT,AMZN,255.720001,90,265,01/05/2014
367,06/05/2013,USD,CALL,FB,27.57,790,28,01/05/2014
368,06/05/2013,USD,CALL,FB,27.57,720,28,02/11/2013
369,06/05/2013,USD,CALL,FB,27.57,940,28,01/05/2014
370,06/05/2013,USD,CALL,BA,94.190002,90,91,02/11/2013
371,06/05/2013,USD,PUT,AMZN,255.720001,180,244,04/08/2013
372,06/05/2013,USD,CALL,MSFT,33.75,400,32,02/11/2013
373,07/05/2013,USD,CALL,AMZN,257.730011,830,250,03/11/2013
374,07/05/2013,USD,PUT,AMZN,257.730011,700,261,05/08/2013
375,07/05/2013,USD,CALL,BA,94.790001,350,92,03/11/2013
376,07/05/2013,USD,CALL,MSFT,33.310001,330,33,02/05/2014
377,07/05/2013,USD,PUT,CHK,18.098392,920,18,05/08/2013
378,08/05/2013,USD,PUT,MSFT,32.990002,550,32,04/11/2013
379,08/05/2013,USD,CALL,BA,94.040001,460,91,03/05/2014
380,08/05/2013,USD,CALL,MSFT,32.990002,40,33,06/08/2013
381,08/05/2013,USD,CALL,FB,27.120001,580,26,06/08/2013
382,09/05/2013,USD,CALL,AAPL,65.252853,630,67,04/05/2014
383,09/05/2013,USD,PUT,CHK,18.524124,620,19,04/05/2014
384,09/05/2013,USD,CALL,AAPL,65.252853,620,65,04/05/2014
