TradeDate,Currency,OptionType,Ticker,TradedStockPrice,NumOptions,Strike,ExpiryDate
07/02/2013,USD,PUT,CHK,19.139072,710,20,06/08/2013
07/02/2013,USD,PUT,CHK,19.139072,960,18,02/02/2014
07/02/2013,USD,CALL,AAPL,66.888573,170,67,02/02/2014
08/02/2013,USD,PUT,XRX,20.974968,180,20,07/08/2013
08/02/2013,USD,PUT,CHK,19.139072,580,19,07/08/2013
08/02/2013,USD,PUT,AAPL,67.854286,300,68,03/02/2014
08/02/2013,USD,PUT,AAPL,67.854286,680,65,09/05/2013
08/02/2013,USD,PUT,XRX,20.974968,200,21,07/08/2013
08/02/2013,USD,PUT,CHK,19.139072,450,18,03/02/2014
08/02/2013,USD,PUT,FB,28.549999,60,29,09/05/2013
11/02/2013,USD,CALL,MSFT,27.860001,710,28,12/05/2013
11/02/2013,USD,PUT,MSFT,27.860001,840,29,06/02/2014
11/02/2013,USD,CALL,XRX,21.054018,930,20,10/08/2013
11/02/2013,USD,PUT,MSFT,27.860001,90,27,12/05/2013
12/02/2013,USD,CALL,AAPL,66.842857,40,65,07/02/2014
12/02/2013,USD,CALL,AMZN,258.700012,780,268,11/08/2013
12/02/2013,USD,CALL,AAPL,66.842857,400,66,07/02/2014
12/02/2013,USD,CALL,FB,27.370001,650,27,07/02/2014
12/02/2013,USD,PUT,MSFT,27.879999,930,28,11/08/2013
12/02/2013,USD,CALL,AAPL,66.842857,990,69,11/08/2013
12/02/2013,USD,CALL,MSFT,27.879999,490,29,11/08/2013
12/02/2013,USD,PUT,BA,75.989998,760,78,07/02/2014
13/02/2013,USD,CALL,FB,27.91,390,28,08/02/2014
13/02/2013,USD,CALL,FB,27.91,770,27,08/02/2014
13/02/2013,USD,CALL,MSFT,28.030001,200,28,08/02/2014
14/02/2013,USD,CALL,FB,28.5,720,27,09/02/2014
14/02/2013,USD,PUT,FB,28.5,300,27,09/02/2014
15/02/2013,USD,CALL,MSFT,28.01,190,27,10/02/2014
15/02/2013,USD,PUT,AMZN,265.089996,50,253,10/02/2014
15/02/2013,USD,PUT,AMZN,265.089996,800,270,16/05/2013
15/02/2013,USD,PUT,MSFT,28.01,280,27,10/02/2014
19/02/2013,USD,PUT,CHK,19.262062,410,20,14/02/2014
19/02/2013,USD,PUT,AAPL,65.71286,430,67,18/08/2013
19/02/2013,USD,CALL,XRX,21.080368,320,21,20/05/2013
19/02/2013,USD,PUT,MSFT,28.049999,520,27,14/02/2014
19/02/2013,USD,CALL,BA,74.650002,180,73,14/02/2014
20/02/2013,USD,PUT,AMZN,266.410004,590,270,19/08/2013
20/02/2013,USD,PUT,BA,74.779999,620,74,15/02/2014
20/02/2013,USD,CALL,AAPL,64.121429,970,65,21/05/2013
21/02/2013,USD,CALL,AMZN,265.940002,640,258,22/05/2013
21/02/2013,USD,PUT,MSFT,27.49,860,26,16/02/2014
22/02/2013,USD,CALL,FB,27.129999,30,27,23/05/2013
22/02/2013,USD,CALL,AAPL,64.401428,910,64,21/08/2013
25/02/2013,USD,PUT,MSFT,27.370001,890,26,20/02/2014
25/02/2013,USD,CALL,FB,27.27,180,27,24/08/2013
25/02/2013,USD,PUT,BA,75.029999,0,76,20/02/2014
25/02/2013,USD,CALL,XRX,20.790514,200,20,24/08/2013
25/02/2013,USD,CALL,CHK,18.07947,650,18,26/05/2013
25/02/2013,USD,PUT,FB,27.27,370,28,26/05/2013
26/02/2013,USD,CALL,XRX,21.13307,530,20,21/02/2014
26/02/2013,USD,PUT,FB,27.389999,70,26,27/05/2013
26/02/2013,USD,CALL,AMZN,259.359985,700,247,25/08/2013
26/02/2013,USD,CALL,AMZN,259.359985,880,262,25/08/2013
26/02/2013,USD,CALL,BA,75.650002,130,76,21/02/2014
26/02/2013,USD,PUT,XRX,21.13307,890,21,25/08/2013
26/02/2013,USD,CALL,MSFT,27.370001,780,27,25/08/2013
01/03/2013,USD,PUT,MSFT,27.950001,60,29,28/08/2013
01/03/2013,USD,PUT,AMZN,265.73999,530,260,30/05/2013
01/03/2013,USD,PUT,AMZN,265.73999,270,266,30/05/2013
01/03/2013,USD,CALL,XRX,21.475626,210,21,28/08/2013
01/03/2013,USD,PUT,XRX,21.475626,840,20,24/02/2014
04/03/2013,USD,CALL,AMZN,273.109985,490,285,02/06/2013
04/03/2013,USD,PUT,MSFT,28.15,230,27,31/08/2013
05/03/2013,USD,CALL,XRX,21.66008,400,22,03/06/2013
05/03/2013,USD,CALL,AAPL,61.591427,500,58,28/02/2014
05/03/2013,USD,CALL,MSFT,28.35,700,27,01/09/2013
05/03/2013,USD,PUT,AAPL,61.591427,60,60,28/02/2014
05/03/2013,USD,PUT,XRX,21.66008,470,21,28/02/2014
05/03/2013,USD,CALL,XRX,21.66008,920,22,28/02/2014
05/03/2013,USD,CALL,XRX,21.66008,250,20,01/09/2013
06/03/2013,USD,PUT,CHK,18.675497,70,19,04/06/2013
06/03/2013,USD,PUT,AAPL,60.808571,920,61,04/06/2013
06/03/2013,USD,CALL,BA,79.080002,460,76,01/03/2014
06/03/2013,USD,CALL,FB,27.450001,300,27,04/06/2013
07/03/2013,USD,PUT,FB,28.58,370,29,02/03/2014
07/03/2013,USD,PUT,CHK,19.725639,830,19,03/09/2013
07/03/2013,USD,PUT,CHK,19.725639,620,18,02/03/2014
07/03/2013,USD,CALL,AAPL,61.511429,260,64,05/06/2013
07/03/2013,USD,PUT,FB,28.58,760,29,02/03/2014
07/03/2013,USD,CALL,AAPL,61.511429,200,63,05/06/2013
08/03/2013,USD,PUT,XRX,22.951252,890,23,03/03/2014
11/03/2013,USD,CALL,CHK,20.302744,620,20,09/06/2013
11/03/2013,USD,CALL,CHK,20.302744,630,19,06/03/2014
11/03/2013,USD,PUT,FB,28.139999,940,29,06/03/2014
11/03/2013,USD,CALL,BA,82.940002,360,81,06/03/2014
11/03/2013,USD,CALL,AMZN,271.23999,560,274,06/03/2014
12/03/2013,USD,CALL,XRX,22.635046,850,23,07/03/2014
12/03/2013,USD,CALL,FB,27.83,820,28,08/09/2013
12/03/2013,USD,CALL,CHK,20.331125,970,19,08/09/2013
12/03/2013,USD,PUT,AMZN,274.130005,640,284,08/09/2013
12/03/2013,USD,CALL,CHK,20.331125,410,20,08/09/2013
12/03/2013,USD,CALL,AMZN,274.130005,220,260,10/06/2013
13/03/2013,USD,PUT,FB,27.08,520,26,11/06/2013
13/03/2013,USD,CALL,AMZN,275.100006,390,280,11/06/2013
13/03/2013,USD,PUT,BA,84.75,130,86,08/03/2014
13/03/2013,USD,PUT,FB,27.08,410,26,08/03/2014
13/03/2013,USD,PUT,CHK,20.245979,40,21,09/09/2013
14/03/2013,USD,PUT,XRX,22.89855,490,22,10/09/2013
14/03/2013,USD,PUT,BA,84.620003,410,87,09/03/2014
14/03/2013,USD,PUT,FB,27.040001,870,25,09/03/2014
14/03/2013,USD,CALL,XRX,22.89855,550,21,09/03/2014
15/03/2013,USD,CALL,FB,26.65,110,26,10/03/2014
15/03/2013,USD,CALL,BA,86.43,420,83,11/09/2013
15/03/2013,USD,CALL,FB,26.65,40,27,10/03/2014
15/03/2013,USD,CALL,CHK,21.248817,110,20,10/03/2014
15/03/2013,USD,CALL,FB,26.65,90,27,11/09/2013
15/03/2013,USD,CALL,AAPL,63.380001,220,61,10/03/2014
15/03/2013,USD,PUT,BA,86.43,910,84,11/09/2013
18/03/2013,USD,CALL,AMZN,257.890015,120,264,13/03/2014
18/03/2013,USD,CALL,FB,26.49,650,26,14/09/2013
19/03/2013,USD,CALL,AMZN,256.410004,150,269,17/06/2013
19/03/2013,USD,PUT,AMZN,256.410004,520,254,15/09/2013
19/03/2013,USD,CALL,XRX,22.714098,560,22,14/03/2014
19/03/2013,USD,PUT,FB,26.549999,600,27,17/06/2013
21/03/2013,USD,CALL,BA,84.330002,300,85,16/03/2014
21/03/2013,USD,PUT,AMZN,253.389999,220,248,17/09/2013
21/03/2013,USD,PUT,FB,25.74,170,26,16/03/2014
21/03/2013,USD,CALL,CHK,19.545885,730,20,19/06/2013
21/03/2013,USD,PUT,MSFT,28.110001,320,27,16/03/2014
22/03/2013,USD,PUT,BA,84.82,90,86,17/03/2014
22/03/2013,USD,PUT,AMZN,257.75,760,245,17/03/2014
22/03/2013,USD,PUT,BA,84.82,700,84,18/09/2013
25/03/2013,USD,CALL,FB,25.129999,450,24,20/03/2014
25/03/2013,USD,CALL,AAPL,66.225716,360,67,20/03/2014
26/03/2013,USD,CALL,FB,25.209999,550,25,22/09/2013
26/03/2013,USD,PUT,AMZN,260.309998,850,263,24/06/2013
26/03/2013,USD,CALL,AAPL,65.877144,660,68,21/03/2014
26/03/2013,USD,PUT,AAPL,65.877144,830,62,24/06/2013
26/03/2013,USD,CALL,FB,25.209999,690,25,22/09/2013
26/03/2013,USD,CALL,MSFT,28.16,760,28,22/09/2013
26/03/2013,USD,PUT,XRX,22.608696,390,21,21/03/2014
27/03/2013,USD,PUT,AAPL,64.582855,710,62,23/09/2013
27/03/2013,USD,CALL,MSFT,28.370001,220,29,22/03/2014
27/03/2013,USD,PUT,AAPL,64.582855,580,62,22/03/2014
27/03/2013,USD,PUT,FB,26.09,460,27,23/09/2013
27/03/2013,USD,CALL,CHK,19.422895,170,19,22/03/2014
27/03/2013,USD,CALL,MSFT,28.370001,740,29,23/09/2013
27/03/2013,USD,CALL,BA,86.199997,10,88,25/06/2013
28/03/2013,USD,CALL,AMZN,266.48999,630,265,23/03/2014
28/03/2013,USD,CALL,FB,25.58,90,25,24/09/2013
28/03/2013,USD,PUT,CHK,19.309366,720,19,26/06/2013
28/03/2013,USD,PUT,FB,25.58,20,25,26/06/2013
28/03/2013,USD,CALL,AAPL,63.237144,250,64,23/03/2014
28/03/2013,USD,PUT,XRX,22.661396,280,22,24/09/2013
28/03/2013,USD,PUT,MSFT,28.610001,190,29,23/03/2014
28/03/2013,USD,CALL,CHK,19.309366,30,18,23/03/2014
01/04/2013,USD,CALL,BA,85.25,300,81,30/06/2013
01/04/2013,USD,CALL,MSFT,28.610001,30,27,28/09/2013
01/04/2013,USD,PUT,BA,85.25,630,81,30/06/2013
01/04/2013,USD,PUT,AAPL,61.272858,390,61,30/06/2013
01/04/2013,USD,PUT,XRX,22.661396,450,21,30/06/2013
01/04/2013,USD,CALL,AMZN,261.609985,420,272,27/03/2014
01/04/2013,USD,CALL,BA,85.25,30,86,27/03/2014
02/04/2013,USD,CALL,XRX,23.320158,520,24,01/07/2013
02/04/2013,USD,PUT,AMZN,263.320007,10,261,29/09/2013
02/04/2013,USD,PUT,AMZN,263.320007,660,271,28/03/2014
02/04/2013,USD,CALL,MSFT,28.799999,190,27,01/07/2013
02/04/2013,USD,CALL,FB,25.42,790,25,29/09/2013
02/04/2013,USD,PUT,AMZN,263.320007,580,274,29/09/2013
02/04/2013,USD,CALL,AMZN,263.320007,390,265,28/03/2014
03/04/2013,USD,CALL,CHK,18.145695,960,18,02/07/2013
03/04/2013,USD,CALL,BA,84.360001,60,88,30/09/2013
03/04/2013,USD,CALL,BA,84.360001,580,86,30/09/2013
03/04/2013,USD,PUT,BA,84.360001,260,81,29/03/2014
04/04/2013,USD,PUT,MSFT,28.6,600,27,03/07/2013
04/04/2013,USD,CALL,XRX,22.8195,30,23,01/10/2013
04/04/2013,USD,CALL,MSFT,28.6,650,29,01/10/2013
04/04/2013,USD,CALL,FB,27.07,570,28,01/10/2013
04/04/2013,USD,PUT,XRX,22.8195,470,22,30/03/2014
04/04/2013,USD,PUT,CHK,18.278145,640,18,03/07/2013
04/04/2013,USD,PUT,MSFT,28.6,390,27,30/03/2014
04/04/2013,USD,CALL,MSFT,28.6,540,28,03/07/2013
04/04/2013,USD,CALL,FB,27.07,720,25,01/10/2013
05/04/2013,USD,PUT,XRX,22.740448,560,22,31/03/2014
05/04/2013,USD,PUT,XRX,22.740448,730,23,02/10/2013
05/04/2013,USD,CALL,BA,86.169998,930,88,02/10/2013
05/04/2013,USD,CALL,FB,27.389999,710,27,31/03/2014
08/04/2013,USD,CALL,MSFT,28.59,100,29,07/07/2013
08/04/2013,USD,PUT,AAPL,60.887142,90,58,07/07/2013
08/04/2013,USD,CALL,MSFT,28.59,740,27,03/04/2014
09/04/2013,USD,CALL,AAPL,60.997143,370,63,06/10/2013
09/04/2013,USD,PUT,CHK,19.053926,160,19,06/10/2013
09/04/2013,USD,PUT,BA,87.209999,170,88,06/10/2013
09/04/2013,USD,PUT,BA,87.209999,190,88,08/07/2013
10/04/2013,USD,CALL,AAPL,62.241428,50,60,09/07/2013
10/04/2013,USD,PUT,AAPL,62.241428,390,60,07/10/2013
10/04/2013,USD,CALL,AAPL,62.241428,800,60,09/07/2013
10/04/2013,USD,CALL,FB,27.57,330,28,07/10/2013
11/04/2013,USD,CALL,AAPL,62.047142,290,61,06/04/2014
11/04/2013,USD,PUT,AAPL,62.047142,870,63,10/07/2013
11/04/2013,USD,PUT,AAPL,62.047142,750,63,06/04/2014
11/04/2013,USD,PUT,MSFT,28.940001,130,27,08/10/2013
11/04/2013,USD,CALL,FB,28.02,470,26,06/04/2014
12/04/2013,USD,PUT,XRX,23.873518,100,23,07/04/2014
12/04/2013,USD,CALL,BA,88.889999,950,90,11/07/2013
12/04/2013,USD,CALL,MSFT,28.790001,510,27,07/04/2014
12/04/2013,USD,CALL,BA,88.889999,400,89,07/04/2014
12/04/2013,USD,CALL,BA,88.889999,610,88,09/10/2013
12/04/2013,USD,PUT,BA,88.889999,790,85,07/04/2014
15/04/2013,USD,PUT,AAPL,59.978573,170,59,10/04/2014
15/04/2013,USD,PUT,MSFT,28.690001,120,28,14/07/2013
15/04/2013,USD,PUT,MSFT,28.690001,930,29,12/10/2013
15/04/2013,USD,PUT,CHK,17.909178,880,17,10/04/2014
15/04/2013,USD,PUT,AMZN,267.720001,810,275,14/07/2013
16/04/2013,USD,CALL,BA,86.889999,120,89,13/10/2013
16/04/2013,USD,CALL,MSFT,28.969999,920,29,13/10/2013
16/04/2013,USD,CALL,MSFT,28.969999,840,29,15/07/2013
16/04/2013,USD,CALL,XRX,23.899868,70,23,13/10/2013
16/04/2013,USD,CALL,BA,86.889999,610,87,11/04/2014
16/04/2013,USD,CALL,CHK,18.032167,20,17,13/10/2013
16/04/2013,USD,CALL,MSFT,28.969999,870,30,13/10/2013
16/04/2013,USD,PUT,MSFT,28.969999,940,28,13/10/2013
17/04/2013,USD,PUT,FB,26.629999,290,25,12/04/2014
17/04/2013,USD,PUT,AMZN,267.399994,110,273,14/10/2013
17/04/2013,USD,CALL,CHK,17.473984,890,18,12/04/2014
17/04/2013,USD,PUT,FB,26.629999,680,27,12/04/2014
17/04/2013,USD,CALL,MSFT,28.83,850,29,14/10/2013
17/04/2013,USD,PUT,AMZN,267.399994,920,269,14/10/2013
18/04/2013,USD,PUT,MSFT,28.790001,290,29,13/04/2014
18/04/2013,USD,CALL,AAPL,56.007141,380,54,13/04/2014
18/04/2013,USD,CALL,CHK,17.937559,800,18,13/04/2014
19/04/2013,USD,PUT,AAPL,55.790001,940,53,16/10/2013
19/04/2013,USD,PUT,MSFT,29.77,370,30,14/04/2014
19/04/2013,USD,PUT,FB,25.73,670,24,14/04/2014
19/04/2013,USD,CALL,CHK,17.587511,190,17,14/04/2014
23/04/2013,USD,CALL,MSFT,30.6,10,30,22/07/2013
23/04/2013,USD,PUT,BA,88.18,850,89,18/04/2014
25/04/2013,USD,PUT,MSFT,31.940001,450,32,20/04/2014
25/04/2013,USD,PUT,CHK,18.240303,250,17,22/10/2013
25/04/2013,USD,PUT,AMZN,274.700012,490,262,20/04/2014
25/04/2013,USD,PUT,CHK,18.240303,610,17,24/07/2013
26/04/2013,USD,PUT,XRX,22.081686,730,21,23/10/2013
29/04/2013,USD,CALL,MSFT,32.610001,250,34,28/07/2013
29/04/2013,USD,PUT,AMZN,249.740005,890,242,26/10/2013
29/04/2013,USD,PUT,AAPL,61.445713,480,59,28/07/2013
29/04/2013,USD,PUT,BA,91.900002,450,92,24/04/2014
29/04/2013,USD,PUT,XRX,22.26614,350,21,26/10/2013
29/04/2013,USD,CALL,AMZN,249.740005,230,239,24/04/2014
29/04/2013,USD,PUT,FB,26.98,60,26,24/04/2014
29/04/2013,USD,PUT,BA,91.900002,770,89,24/04/2014
30/04/2013,USD,PUT,XRX,22.608696,50,22,25/04/2014
30/04/2013,USD,PUT,XRX,22.608696,840,23,27/10/2013
30/04/2013,USD,CALL,MSFT,33.099998,860,33,29/07/2013
30/04/2013,USD,PUT,XRX,22.608696,210,21,25/04/2014
30/04/2013,USD,PUT,AAPL,63.254284,80,65,27/10/2013
30/04/2013,USD,PUT,AAPL,63.254284,410,65,27/10/2013
01/05/2013,USD,PUT,BA,91.18,300,88,26/04/2014
01/05/2013,USD,PUT,XRX,21.949934,600,22,26/04/2014
01/05/2013,USD,CALL,MSFT,32.720001,640,32,28/10/2013
01/05/2013,USD,PUT,CHK,18.155155,600,18,26/04/2014
01/05/2013,USD,PUT,AAPL,62.755714,160,65,26/04/2014
01/05/2013,USD,PUT,AMZN,248.229996,550,250,26/04/2014
01/05/2013,USD,PUT,AMZN,248.229996,570,243,30/07/2013
01/05/2013,USD,PUT,CHK,18.155155,590,18,26/04/2014
02/05/2013,USD,PUT,AAPL,63.645714,500,66,27/04/2014
02/05/2013,USD,PUT,AMZN,252.550003,730,258,27/04/2014
02/05/2013,USD,CALL,AAPL,63.645714,570,62,31/07/2013
03/05/2013,USD,CALL,XRX,22.503294,580,23,30/10/2013
03/05/2013,USD,CALL,AMZN,258.049988,970,249,28/04/2014
03/05/2013,USD,PUT,AAPL,64.28286,450,63,30/10/2013
03/05/2013,USD,PUT,MSFT,33.490002,810,33,01/08/2013
03/05/2013,USD,PUT,BA,93.739998,100,93,30/10/2013
06/05/2013,USD,CALL,MSFT,33.75,700,32,04/08/2013
06/05/2013,USD,CALL,AAPL,65.815712,100,66,04/08/2013
06/05/2013,USD,PUT,AMZN,255.720001,90,265,01/05/2014
06/05/2013,USD,CALL,FB,27.57,790,28,01/05/2014
06/05/2013,USD,CALL,FB,27.57,720,28,02/11/2013
06/05/2013,USD,CALL,FB,27.57,940,28,01/05/2014
06/05/2013,USD,CALL,BA,94.190002,90,91,02/11/2013
06/05/2013,USD,PUT,AMZN,255.720001,180,244,04/08/2013
06/05/2013,USD,CALL,MSFT,33.75,400,32,02/11/2013
07/05/2013,USD,CALL,AMZN,257.730011,830,250,03/11/2013
07/05/2013,USD,PUT,AMZN,257.730011,700,261,05/08/2013
07/05/2013,USD,CALL,BA,94.790001,350,92,03/11/2013
07/05/2013,USD,CALL,MSFT,33.310001,330,33,02/05/2014
07/05/2013,USD,PUT,CHK,18.098392,920,18,05/08/2013
08/05/2013,USD,PUT,MSFT,32.990002,550,32,04/11/2013
08/05/2013,USD,CALL,BA,94.040001,460,91,03/05/2014
08/05/2013,USD,CALL,MSFT,32.990002,40,33,06/08/2013
08/05/2013,USD,CALL,FB,27.120001,580,26,06/08/2013
09/05/2013,USD,CALL,AAPL,65.252853,630,67,04/05/2014
09/05/2013,USD,PUT,CHK,18.524124,620,19,04/05/2014
09/05/2013,USD,CALL,AAPL,65.252853,620,65,04/05/2014
09/05/2013,USD,CALL,FB,27.040001,510,28,04/05/2014
09/05/2013,USD,CALL,AAPL,65.252853,330,67,04/05/2014
10/05/2013,USD,CALL,AMZN,263.630005,700,270,06/11/2013
10/05/2013,USD,PUT,AAPL,64.709999,400,65,08/08/2013
10/05/2013,USD,CALL,AAPL,64.709999,880,66,05/05/2014
10/05/2013,USD,CALL,CHK,19.063387,610,18,06/11/2013
10/05/2013,USD,CALL,FB,26.68,690,27,08/08/2013
10/05/2013,USD,PUT,AMZN,263.630005,150,266,06/11/2013
10/05/2013,USD,CALL,CHK,19.063387,250,18,06/11/2013
13/05/2013,USD,PUT,AAPL,64.96286,460,63,08/05/2014
13/05/2013,USD,CALL,BA,94.760002,710,90,08/05/2014
13/05/2013,USD,CALL,XRX,23.42556,160,22,11/08/2013
13/05/2013,USD,PUT,BA,94.760002,740,96,08/05/2014
13/05/2013,USD,CALL,FB,26.82,60,28,08/05/2014
13/05/2013,USD,PUT,MSFT,33.029999,800,32,08/05/2014
13/05/2013,USD,CALL,XRX,23.42556,450,22,11/08/2013
14/05/2013,USD,CALL,BA,96.110001,310,92,10/11/2013
14/05/2013,USD,PUT,AMZN,268.329987,220,258,12/08/2013
15/05/2013,USD,CALL,BA,97.019997,570,95,11/11/2013
15/05/2013,USD,PUT,CHK,19.545885,860,19,10/05/2014
15/05/2013,USD,CALL,AAPL,61.264286,800,61,13/08/2013
15/05/2013,USD,CALL,CHK,19.545885,610,19,10/05/2014
15/05/2013,USD,CALL,FB,26.6,920,25,11/11/2013
